iter	Logloss
0	0.6337503165
1	0.5830077137
2	0.5456167405
3	0.511992696
4	0.4871288181
5	0.4642529699
6	0.445757919
7	0.4278619292
8	0.411885534
9	0.3991419511
10	0.3875696398
11	0.3771173439
12	0.367923746
13	0.3583588069
14	0.3500633095
15	0.3421185362
16	0.3353850858
17	0.329188055
18	0.3228635719
19	0.3170877618
20	0.3120485375
21	0.3075362773
22	0.3030008525
23	0.2989961008
24	0.2951925172
25	0.2916567417
26	0.2881301507
27	0.284855473
28	0.2812682281
29	0.2779483228
30	0.2749930601
31	0.2716412079
32	0.2688879162
33	0.2665137421
34	0.2640581901
35	0.2614059704
36	0.2590456838
37	0.2568771495
38	0.2543261676
39	0.2520862661
40	0.2501400058
41	0.2483073215
42	0.2459786808
43	0.2439931639
44	0.2418622603
45	0.2396861817
46	0.2380180854
47	0.236085215
48	0.2346019048
49	0.2328353525
50	0.2309214382
51	0.2294428081
52	0.2278070999
53	0.2264744458
54	0.2250365066
55	0.2236941694
56	0.2222022007
57	0.2207643946
58	0.2194215785
59	0.2181321354
60	0.216881285
61	0.2154312995
62	0.2143316454
63	0.212933844
64	0.2116936592
65	0.2105580359
66	0.2095206837
67	0.2083361591
68	0.2073780301
69	0.20629778
70	0.2052276413
71	0.2042484191
72	0.2032234713
73	0.2022921769
74	0.2013023736
75	0.2003402367
76	0.1994212913
77	0.198223921
78	0.1972657645
79	0.1961648457
80	0.1951941147
81	0.1943153847
82	0.1933753266
83	0.1924735575
84	0.1916874346
85	0.1906906276
86	0.1897539742
87	0.1887040948
88	0.1878767353
89	0.1871183813
90	0.1862729046
91	0.1854570482
92	0.1844932269
93	0.183833911
94	0.1830525676
95	0.1824171846
96	0.1817551473
97	0.1810022762
98	0.1802210449
99	0.1794608953
100	0.1788330427
101	0.177959744
102	0.1771929616
103	0.176682319
104	0.1758215909
105	0.1751283711
106	0.1745125634
107	0.1738501065
108	0.1731142444
109	0.1723269175
110	0.1717523
111	0.171228308
112	0.1705200894
113	0.1698128732
114	0.1692923194
115	0.1685963959
116	0.16790031
117	0.167322304
118	0.1667447459
119	0.1661556263
120	0.1655607156
121	0.165081316
122	0.164338029
123	0.1637184254
124	0.1631312822
125	0.162495105
126	0.1619077026
127	0.1613046373
128	0.1607976887
129	0.1602318921
130	0.159728892
131	0.1591485932
132	0.1584579972
133	0.158009063
134	0.1574878893
135	0.1569181686
136	0.1563158828
137	0.155727908
138	0.1551295076
139	0.1546398559
140	0.1541627835
141	0.1536564958
142	0.1530277619
143	0.1525564888
144	0.1520667918
145	0.1515134149
146	0.1509372428
147	0.150379381
148	0.1498331641
149	0.1493034428
150	0.1487524461
151	0.1483397926
152	0.1478768938
153	0.1473509147
154	0.1469930955
155	0.1465323446
156	0.14599393
157	0.1455551496
158	0.1450880152
159	0.144675533
160	0.1442063377
161	0.1437535708
162	0.1434504957
163	0.1430814288
164	0.1426839667
165	0.142314259
166	0.1417797116
167	0.1414715146
168	0.141020441
169	0.1406369287
170	0.1403166062
171	0.139920263
172	0.1395561817
173	0.1391282999
174	0.1386251771
175	0.1381831934
176	0.1377983308
177	0.1372344594
178	0.1368115312
179	0.1364511974
180	0.1360122664
181	0.13564739
182	0.1352564891
183	0.1348977958
184	0.1345002857
185	0.1341486115
186	0.1337524509
187	0.1333514383
188	0.1329603812
189	0.1325874241
190	0.1321670483
191	0.1318840003
192	0.1315036508
193	0.131145523
194	0.1308627495
195	0.1304808311
196	0.130155185
197	0.1298606031
198	0.1295417662
199	0.1291796949
200	0.1289068687
201	0.1286036663
202	0.1283971079
203	0.1279672307
204	0.1276415232
205	0.1273488125
206	0.1270309551
207	0.1267503694
208	0.1263959239
209	0.1259655013
210	0.1256806926
211	0.1254506089
212	0.1252046755
213	0.1248481431
214	0.1244703233
215	0.1242455439
216	0.1239194935
217	0.1236603869
218	0.1234133458
219	0.1231260956
220	0.1228357468
221	0.1225786499
222	0.1222954152
223	0.1219731567
224	0.121629156
225	0.1214157423
226	0.1211020536
227	0.1208236853
228	0.1206039734
229	0.120389762
230	0.1200854944
231	0.1198835838
232	0.1194800901
233	0.1193008172
234	0.1190792994
235	0.1188053924
236	0.1185268388
237	0.1182839375
238	0.1180929259
239	0.1177808224
240	0.117498958
241	0.1172630973
242	0.1169660333
243	0.1166822021
244	0.1164514121
245	0.1161645767
246	0.1158567245
247	0.115591268
248	0.1152887459
249	0.1149576052
250	0.1146672917
251	0.1143396182
252	0.1141093373
253	0.1138747502
254	0.1136543507
255	0.1134389932
256	0.1131401277
257	0.1128466935
258	0.1125719959
259	0.1122987917
260	0.112037233
261	0.1117731295
262	0.1115297664
263	0.1112965063
264	0.1109740086
265	0.1107410714
266	0.1105374174
267	0.1103756231
268	0.1101552087
269	0.1098938471
270	0.1096006505
271	0.1093539538
272	0.1090767805
273	0.1089056232
274	0.1087079793
275	0.1084519242
276	0.1083256733
277	0.10806738
278	0.1078807901
279	0.1075911206
280	0.1073210134
281	0.1070659996
282	0.1068398989
283	0.1065601341
284	0.1062437844
285	0.105984213
286	0.1057990324
287	0.105617582
288	0.1054466594
289	0.1051749354
290	0.1049328943
291	0.1047068883
292	0.104512377
293	0.1042183364
294	0.1039210905
295	0.1037492318
296	0.1035789618
297	0.103429813
298	0.1032283006
299	0.1029914732
300	0.1028236349
301	0.1025948452
302	0.102364997
303	0.1021999562
304	0.1019524824
305	0.1016980686
306	0.1015255345
307	0.1012920443
308	0.1010886092
309	0.1008532731
310	0.1006896158
311	0.1004908344
312	0.1002277638
313	0.1000913772
314	0.09983456498
315	0.09967703479
316	0.09954939448
317	0.09940006745
318	0.09922736078
319	0.0989992614
320	0.09879101925
321	0.09865498398
322	0.09850883071
323	0.09826566297
324	0.09810906151
325	0.0979177371
326	0.09778911155
327	0.09756573996
328	0.09731584057
329	0.09709578224
330	0.09687656042
331	0.09667447213
332	0.09654344835
333	0.09636785221
334	0.09624613228
335	0.09604179507
336	0.0958208275
337	0.09565025792
338	0.09547374646
339	0.09531702742
340	0.09510217211
341	0.09496351126
342	0.09475047213
343	0.09464580966
344	0.09449843872
345	0.09432806593
346	0.09421695362
347	0.09399662402
348	0.0938724812
349	0.09369459406
350	0.0935104504
351	0.09333059978
352	0.0931682284
353	0.09298567255
354	0.09286317932
355	0.09268223864
356	0.09255207224
357	0.09233980785
358	0.09218630736
359	0.09200463197
360	0.09182187867
361	0.0917071806
362	0.09160732977
363	0.09140238779
364	0.09126822343
365	0.09109459305
366	0.09096767628
367	0.09086161348
368	0.0906729568
369	0.09047387143
370	0.09038980205
371	0.09021450732
372	0.09008587271
373	0.0899336318
374	0.0897695468
375	0.08958244712
376	0.08942775598
377	0.0892586999
378	0.08908245864
379	0.08896791483
380	0.08884907957
381	0.08870618202
382	0.0885814518
383	0.08843774254
384	0.08831207603
385	0.08817633738
386	0.08798718856
387	0.08781598086
388	0.08768976811
389	0.08754138683
390	0.08745370496
391	0.08726783939
392	0.08715964357
393	0.08704499946
394	0.08691621112
395	0.08676269628
396	0.0866427093
397	0.08646631485
398	0.08630741888
399	0.08617502611
400	0.08606858829
401	0.08590090166
402	0.0857753905
403	0.08558518575
404	0.08540040039
405	0.08523629119
406	0.0850355975
407	0.08490847649
408	0.08480547086
409	0.08466369392
410	0.08456538234
411	0.08446559106
412	0.08432664027
413	0.08415005512
414	0.08399163214
415	0.08387661032
416	0.08379671769
417	0.08364370032
418	0.08345913286
419	0.08334759078
420	0.0832220325
421	0.083040214
422	0.08286955848
423	0.08279110317
424	0.08264204961
425	0.08252288548
426	0.08238138243
427	0.08225098579
428	0.08217144015
429	0.08205417157
430	0.08198105626
431	0.08183008549
432	0.08169087461
433	0.08156003423
434	0.08141290898
435	0.08123229367
436	0.08115278406
437	0.08102474589
438	0.08090917768
439	0.08078129525
440	0.08066941046
441	0.08050622522
442	0.08038929411
443	0.080255003
444	0.08010123894
445	0.07992818479
446	0.07986265917
447	0.07969544167
448	0.0796021486
449	0.07945956097
450	0.07937181434
451	0.07927161759
452	0.07912312746
453	0.07903915936
454	0.07886499778
455	0.07870290311
456	0.07857917666
457	0.0784333168
458	0.07829125229
459	0.07819359577
460	0.0780563114
461	0.07790656517
462	0.07784006334
463	0.07772457134
464	0.07756915517
465	0.07749388827
466	0.07732651205
467	0.07719572035
468	0.07709764247
469	0.07697069784
470	0.07681256457
471	0.07665140153
472	0.07651059736
473	0.07636821448
474	0.07622169059
475	0.0760792118
