iter	Passed	Remaining
191	57381	241479
192	57629	240967
193	57860	240390
194	58126	239956
195	58396	239544
196	58665	239128
197	58898	238568
198	59099	237884
199	59386	237546
200	59587	236868
201	59853	236451
202	60050	235763
203	60314	235345
204	60547	234805
205	60858	234571
206	61069	233950
207	61330	233525
208	61613	233188
209	61867	232738
210	62076	232125
211	62278	231486
212	62519	230999
213	62793	230633
214	63025	230116
215	63238	229531
216	63510	229166
217	63758	228711
218	63978	228159
219	64221	227695
220	64428	227102
221	64672	226644
222	64923	226212
223	65178	225798
224	65460	225476
225	65698	225001
226	65934	224526
227	66189	224113
228	66390	223525
229	66618	223026
230	66851	222549
231	67062	221999
232	67414	221916
233	67605	221308
234	67859	220905
235	68099	220458
236	68344	220027
237	68556	219496
238	68801	219070
239	69036	218615
240	69297	218243
241	69494	217672
242	69790	217411
243	70032	216987
244	70253	216495
245	70508	216111
246	70795	215826
247	71059	215471
248	71328	215130
249	71792	215377
250	72091	215125
251	72373	214822
252	72614	214398
253	72907	214128
254	73113	213604
255	73365	213217
256	73636	212887
257	73980	212766
258	74292	212551
259	74564	212221
260	74810	211818
261	75053	211410
262	75288	210980
263	75519	210540
264	75804	210251
265	76050	209854
266	76271	209389
267	76497	208941
268	76716	208475
269	76965	208090
270	77239	207776
271	77491	207403
272	77737	207014
273	77942	206519
274	78182	206118
275	78455	205802
276	78676	205354
277	78996	205162
278	79227	204742
279	79502	204434
280	79819	204234
281	80064	203852
282	80349	203570
283	80606	203219
284	80894	202946
285	81157	202608
286	81384	202185
287	81583	201692
288	81830	201320
289	82088	200976
290	82347	200633
291	82628	200344
292	82873	199971
293	83164	199708
294	83418	199357
295	83650	198953
296	83976	198773
297	84175	198292
298	84422	197926
299	84751	197754
300	84949	197275
301	85205	196931
302	85451	196565
303	85673	196146
304	85933	195814
305	86213	195530
306	86461	195171
307	86967	195395
308	87190	194979
309	87462	194674
310	87706	194308
311	87960	193964
312	88243	193684
313	88459	193259
314	88756	193009
315	88976	192594
316	89182	192150
317	89430	191798
318	89648	191381
319	89887	191010
320	90153	190697
321	90338	190214
322	90629	189957
323	90918	189693
324	91171	189356
325	91406	188981
326	91621	188566
327	91910	188304
328	92218	188080
329	92480	187763
330	92753	187468
331	93028	187177
332	93240	186760
333	93482	186404
334	93698	185998
335	93962	185688
336	94222	185369
337	94462	185013
338	94742	184734
339	95009	184429
340	95296	184165
341	95518	183774
342	95809	183519
343	96004	183077
344	96227	182692
345	96489	182381
346	96703	181981
347	97045	181821
348	97288	181475
349	97543	181152
350	97811	180854
351	98025	180455
352	98290	180152
353	98566	179869
354	98782	179477
355	99069	179214
356	99329	178903
357	99621	178650
358	99861	178304
359	100127	178004
360	100419	177751
361	100651	177391
362	101081	177379
363	101343	177073
364	101591	176742
365	101814	176366
366	102036	175991
367	102222	175556
368	102490	175262
369	102777	174999
370	102970	174578
371	103281	174357
372	103494	173971
373	103738	173637
374	104006	173343
375	104287	173072
376	104539	172753
377	104795	172440
378	105034	172101
379	105281	171774
380	105552	171488
381	105793	171152
382	106025	170803
383	106268	170472
384	106499	170121
385	106753	169809
386	107068	169594
387	107344	169315
388	107573	168965
389	107835	168666
390	108041	168279
391	108329	168021
392	108575	167697
393	108790	167327
394	109010	166965
395	109437	166919
396	109745	166690
397	110075	166495
398	110303	166146
399	110637	165956
400	110855	165591
401	111171	165374
402	111422	165060
403	111695	164778
404	112010	164559
405	112281	164274
406	112560	164001
407	112866	163767
408	113074	163391
409	113305	163049
410	113512	162673
411	113787	162395
412	114083	162147
413	114356	161866
414	114571	161503
415	114792	161150
416	115187	161042
417	115445	160740
418	115676	160400
419	115972	160151
420	116184	159787
421	116504	159572
422	116747	159251
423	116934	158854
424	117149	158496
425	117394	158179
426	117624	157842
427	117813	157451
428	118021	157087
429	118236	156731
430	118425	156343
431	118684	156048
432	118923	155727
433	119214	155472
434	119456	155155
435	119797	154967
436	120068	154687
437	120319	154383
438	120574	154082
439	120827	153780
440	121078	153475
441	121557	153459
442	121858	153217
443	122215	153045
444	122494	152773
445	122811	152550
446	123033	152208
447	123351	151986
448	123638	151725
449	124079	151652
450	124330	151347
451	124601	151065
452	124938	150863
453	125257	150639
454	125631	150481
455	125952	150259
456	126356	150134
457	126631	149857
458	126934	149611
459	127207	149330
460	127514	149089
461	127764	148782
462	127984	148440
463	128228	148126
464	128694	148068
465	128893	147702
466	129166	147421
467	129166	147421
468	129432	146856
469	129769	146647
470	130173	146514
471	130499	146292
472	130751	145986
473	131084	145773
474	131417	145557
475	131685	145269
476	131902	144925
477	132117	144581
478	132428	144341
479	132773	144138
480	132982	143786
481	133399	143661
482	133687	143395
483	133929	143080
484	134252	142851
485	134511	142554
486	134789	142277
487	135117	142053
488	135478	141863
489	135698	141526
490	135955	141227
491	136166	140880
492	136472	140632
493	136706	140311
494	136922	139970
495	137265	139760
496	137561	139503
497	137764	139150
498	137999	138831
499	138226	138503
500	138567	138290
501	138878	138047
502	139298	137910
503	139808	137862
504	140400	137893
505	140732	137667
506	140977	137355
507	141259	137080
508	141484	136750
509	141820	136526
510	142116	136264
511	142471	136059
512	143433	136429
513	143749	136184
514	144101	135971
515	144293	135608
516	144606	135358
517	144873	135066
518	145200	134829
519	145670	134724
520	145911	134406
521	146105	134047
522	146412	133791
523	146610	133435
524	146873	133139
525	147071	132784
526	147456	132598
527	147755	132334
528	148193	132195
529	148461	131903
530	148816	131688
531	149071	131385
532	149266	131029
533	149576	130774
534	149768	130416
535	150098	130179
536	150370	129891
537	150623	129586
538	150821	129235
539	151120	128971
540	151400	128690
541	151663	128395
542	151913	128089
543	152245	127852
544	152498	127549
545	152825	127307
546	153173	127083
547	153471	126817
548	153730	126518
549	153991	126222
550	154340	125998
551	154542	125653
552	155079	125580
553	155318	125265
554	155510	124913
555	155805	124644
556	155998	124293
557	156229	123974
558	156516	123698
559	156828	123443
560	157015	123088
561	157257	122778
562	157497	122466
563	157822	122221
564	158091	121932
565	158281	121582
566	158590	121324
567	158792	120984
568	159086	120715
569	159326	120404
570	159546	120079
571	159900	119855
572	160089	119507
573	160341	119207
574	160580	118897
575	160863	118619
576	161153	118347
577	161384	118031
578	161680	117763
579	162047	117547
580	162278	117232
581	162561	116954
582	162787	116636
583	163097	116378
584	163287	116034
585	163531	115730
586	163861	115485
587	164040	115135
588	164275	114825
589	164605	114581
590	164868	114290
591	165084	113966
592	165385	113702
593	165678	113432
594	165939	113140
595	166173	112830
596	166456	112553
597	166729	112270
598	166999	111984
599	167277	111704
600	167514	111396
601	167778	111108
602	168038	110816
603	168286	110516
604	168668	110304
605	169001	110060
606	169420	109871
607	169646	109557
608	169927	109278
609	170168	108974
610	170395	108661
611	170628	108353
612	170973	108115
613	171161	107778
614	171431	107493
615	171661	107183
616	171919	106891
617	172136	106573
618	172472	106330
619	172783	106070
620	173102	105816
621	173383	105538
622	173786	105333
623	174117	105085
624	174416	104817
625	174634	104501
626	174926	104229
627	175174	103931
628	175376	103605
629	175655	103326
630	175942	103052
631	176163	102738
632	176446	102462
633	176647	102137
634	176927	101858
635	177203	101577
636	177458	101285
637	177699	100984
638	177969	100700
639	178199	100393
640	178508	100132
641	178755	99835
642	179041	99560
643	179271	99254
644	179584	98994
645	179908	98740
646	180089	98407
647	180364	98127
648	180610	97830
649	180810	97509
650	181110	97242
651	181371	96954
652	181619	96659
653	181975	96422
654	182200	96114
655	182521	95858
656	183002	95685
657	183282	95407
658	183562	95129
659	183859	94859
660	184114	94567
661	184443	94314
662	184691	94019
663	184903	93706
664	185227	93450
665	185497	93167
666	185728	92864
667	186182	92672
668	186393	92359
669	186753	92120
670	186989	91820
671	187278	91545
672	187556	91266
673	187814	90977
674	187994	90650
675	188294	90381
676	188536	90084
677	188965	89877
678	189242	89597
679	189508	89311
680	189787	89032
681	190019	88731
682	190288	88447
683	190524	88149
684	190760	87850
685	190982	87545
686	191219	87247
687	191446	86945
688	191677	86644
689	192132	86445
690	192418	86170
691	192890	85977
692	193171	85699
693	193486	85435
694	193744	85147
695	194025	84868
696	194243	84562
697	194454	84254
698	194782	83996
699	194983	83683
700	195232	83392
701	195545	83127
702	195860	82863
703	196216	82617
704	196497	82339
705	196759	82052
706	197022	81767
707	197200	81446
708	197413	81140
709	197735	80879
710	197942	80570
711	198205	80285
712	198461	79997
713	198714	79708
714	198973	79422
715	199172	79111
716	199401	78813
717	199624	78513
718	199908	78237
719	200136	77938
720	200363	77640
721	200622	77355
722	200869	77064
723	201125	76778
724	201435	76512
725	201715	76234
726	202020	75966
727	202247	75668
728	202531	75392
729	202794	75109
730	203101	74841
731	203453	74590
732	203714	74305
733	204072	74056
734	204291	73756
735	204570	73478
736	204794	73180
737	205054	72895
738	205346	72622
739	205615	72340
740	205864	72052
741	206194	71792
742	206404	71490
743	206640	71197
744	206950	70930
745	207274	70667
746	207520	70378
747	207751	70084
748	208027	69806
749	208521	69599
750	208764	69309
751	208986	69012
752	209259	68732
753	209565	68463
754	209820	68177
755	210058	67886
756	210316	67601
757	210730	67367
758	210945	67068
759	211185	66777
760	211407	66482
761	211912	66274
762	212148	65983
763	212423	65703
764	212665	65414
765	212916	65127
766	213193	64848
767	213475	64571
768	213706	64279
769	213962	63993
770	214266	63723
771	214520	63437
772	214738	63142
773	214942	62842
774	215156	62545
775	215418	62263
776	215757	62002
777	215956	61701
778	216196	61413
779	216396	61113
780	216671	60834
781	216851	60529
782	217182	60266
783	217381	59967
784	217673	59693
785	217983	59424
786	218204	59131
787	218507	58861
788	218717	58565
789	218994	58287
790	219264	58007
791	219561	57735
792	219841	57458
793	220133	57184
794	220452	56917
795	220717	56636
796	220999	56360
797	221267	56080
798	221714	55845
799	222015	55573
800	222276	55291
801	222558	55014
802	222754	54716
803	222992	54429
804	223233	54142
805	223480	53857
806	223695	53564
807	224012	53296
808	224321	53026
809	224552	52737
810	224782	52449
811	225046	52168
812	225322	51890
813	225569	51606
814	225785	51314
815	226016	51026
816	227201	50953
817	227464	50671
818	227782	50401
819	227987	50107
820	228233	49821
821	228534	49548
822	228868	49281
823	229159	49006
824	229376	48714
825	229585	48421
826	229824	48135
827	230113	47859
828	230376	47577
829	230624	47293
830	230877	47009
831	231169	46734
832	231447	46456
833	231693	46171
834	231946	45888
835	232191	45604
836	232436	45319
837	232651	45029
838	232931	44751
839	233283	44487
840	233611	44219
841	233879	43939
842	234202	43669
843	234425	43381
844	234683	43099
845	234903	42810
846	235181	42532
847	235433	42250
848	235663	41963
849	235936	41684
850	236219	41407
851	236504	41131
852	236786	40853
853	236982	40562
854	237190	40272
855	237415	39985
856	237614	39695
857	237895	39417
858	238111	39130
859	238301	38838
860	238530	38553
861	238733	38263
862	238991	37983
863	239255	37704
864	239513	37423
865	239723	37136
866	240033	36864
867	240238	36576
868	240490	36295
869	240731	36012
870	240986	35732
871	241217	35448
872	241466	35167
873	241736	34889
874	241953	34604
875	242230	34327
876	242493	34048
877	242760	33770
878	242981	33486
879	243245	33207
880	243437	32919
881	243711	32642
882	243934	32358
883	244283	32091
884	244616	31822
885	244931	31550
886	245171	31269
887	245486	30997
888	245703	30712
889	245956	30433
890	246177	30149
891	246451	29872
892	246676	29590
893	246933	29311
894	247139	29026
895	247417	28750
896	247667	28470
897	248008	28201
898	248202	27915
899	248439	27635
900	248711	27358
901	248964	27079
902	249195	26798
903	249451	26519
904	249733	26244
905	249945	25961
906	250284	25691
907	250539	25413
908	250875	25142
909	251219	24873
910	251465	24593
911	251725	24315
912	251987	24038
913	252289	23764
914	252619	23493
915	252882	23215
916	253119	22935
917	253414	22660
918	253661	22381
919	253948	22106
920	254127	21821
921	254320	21538
922	254550	21258
923	254752	20976
924	255001	20698
925	255335	20426
926	255874	20171
927	256106	19891
928	256321	19610
929	256537	19330
930	256736	19048
931	257036	18773
932	257359	18501
933	257664	18227
934	257907	17948
935	258208	17674
936	258586	17404
937	258799	17124
938	259100	16849
939	259372	16573
940	259695	16300
941	259911	16020
942	260148	15741
943	260450	15466
944	260797	15194
945	261097	14919
946	261394	14644
947	261692	14369
948	262053	14097
949	262250	13817
950	262468	13537
951	262746	13261
952	263039	12986
953	263331	12710
954	263658	12436
955	263867	12157
956	264194	11883
957	264468	11606
958	264834	11334
959	265086	11056
960	265338	10779
961	265629	10503
962	265865	10225
963	266162	9949
964	266453	9674
965	266662	9395
966	266869	9116
967	267205	8842
968	267500	8566
969	268065	8299
970	268392	8024
971	268651	7746
972	268975	7471
973	269315	7196
974	269676	6921
975	269946	6644
976	270373	6371
977	270646	6094
978	270886	5816
979	271272	5541
980	271615	5266
981	271899	4988
982	272223	4712
983	272517	4435
984	272862	4159
985	273167	3882
986	273444	3605
987	273778	3328
988	274006	3050
989	274258	2773
990	274510	2495
991	274698	2217
992	274905	1939
993	275101	1662
994	275287	1384
995	275571	1107
996	275810	830
997	276044	553
998	276246	276
999	276544	0
